Sl,Dia,BucketCapacity,Experience,SoilStrata,Productivity
1,100,1.1,3,6,9.5
2,100,0.9,3,5,9.2
3,200,1.1,3,5,13.2
4,100,1.1,5,5,10.5
5,800,0.9,7,4,23.0
6,100,1.1,5,5,10.4
7,200,1.1,5,5,13.5
8,450,0.9,5,4,18.5
9,100,1.1,5,5,10.6
10,150,1.1,7,5,13.2
11,500,0.9,5,5,19.2
12,900,1.1,5,2,23.8
13,800,1.1,3,5,22
14,100,0.9,5,6,10.2
15,100,1.1,7,5,12.8
16,200,1.1,5,4,13.8
17,100,0.9,5,5,10.4
18,800,1.1,5,5,22.5
19,100,1.1,5,5,10.5
20,200,1.1,7,4,14.8
21,450,1.1,5,4,18.8
22,100,0.9,5,5,10.2
23,150,1.1,3,6,11.2
24,500,1.1,5,5,19.8
25,900,0.9,7,4,24
26,800,1.1,5,6,22.4
27,100,1.1,5,5,10.5
28,100,0.9,5,6,10.2
29,200,1.1,5,6,13.4
30,100,1.1,7,6,12.5
31,800,0.9,5,5,22.2
32,100,1.1,5,8,10.0
33,200,1.1,3,5,13.4
34,450,1.1,5,5,18.6
35,100,0.9,5,4,11.0
36,150,1.1,5,4,12.5
37,500,1.1,5,2,20.5
38,900,0.9,7,4,24
39,800,1.1,5,4,22.8
40,100,1.1,5,5,11.0
41,100,0.9,3,4,9.3
42,200,1.1,5,6,13.4
43,100,1.1,7,8,12.2
44,800,1.1,5,6,22.2
45,100,0.9,5,6,10.2
46,200,1.1,5,8,13.2
47,450,1.1,5,4,19
48,100,0.9,7,5,12.4
49,150,1.1,5,6,12
50,500,1.1,5,5,19.6
51,900,0.9,3,2,23.5
52,800,1.1,5,4,22.8
53,100,1.1,7,5,12.8
54,100,1.1,5,6,10.8
55,200,0.9,5,5,13.4
56,100,1.1,3,8,9
57,800,1.1,5,5,22.8
58,100,0.9,7,6,12
59,200,1.1,5,4,13.8
60,450,1.1,5,6,18.5
61,100,0.9,5,5,10.0
62,150,1.1,5,6,12
63,500,1.1,7,15,19.2
64,900,1.1,5,6,23.5
65,800,0.9,5,6,22.5
66,200,1.1,3,8,13
67,100,1.1,5,5,11.0
68,700,0.9,7,2,22.4
69,200,1.1,5,6,13.5
70,300,1.1,5,15,14.8
71,200,0.9,5,5,13.6
72,400,1.1,5,2,18.5
73,150,1.1,7,6,13
74,350,1.1,5,15,16
75,400,0.9,5,2,18.2
76,250,1.1,3,2,16
77,100,1.1,5,15,9.8
78,200,0.9,7,8,13.2
79,700,1.1,5,2,22
80,300,1.1,5,4,15.8
81,200,0.9,7,5,14.2
82,400,1.1,5,2,18.4
83,100,1.1,5,5,11.0
84,250,1.1,3,2,15.8
85,150,0.9,5,2,12.8
86,300,1.1,7,15,15
87,200,1.1,5,2,14.4
88,700,0.9,5,4,21.8
89,100,1.1,5,2,12.8
90,200,1.1,5,4,13.8
91,150,0.9,7,5,13
92,250,1.1,5,15,14.5
93,300,1.1,5,6,15.5
94,400,1.1,3,2,17.5
95,100,1.1,5,5,11.4
96,200,0.9,5,6,13.2
97,150,1.1,5,15,11.2
98,100,1.1,7,5,12.9
99,150,1.1,5,2,13.0
100,300,1.1,5,6,15.5
101,150,1.1,3,6,11.4
102,300,1.1,5,5,16
103,600,1.1,7,5,21
104,500,0.9,5,5,19
105,200,1.1,5,4,14
106,200,1.1,5,5,14
107,500,0.9,5,5,19.2
108,300,1.1,7,4,16.8
109,300,0.9,5,5,15.6
110,500,1.1,5,5,19.8
111,300,1.1,3,5,15.5
112,150,0.9,5,2,12.8
113,500,1.1,5,5,20.2
114,600,1.1,7,6,20.8
115,200,1.1,5,5,13.8
116,200,1.1,5,4,14
117,500,1.1,3,5,19
118,300,1.1,5,5,15.8
119,350,0.9,5,8,17.2
120,300,1.1,3,9,14.8
121,250,1.1,5,11,14.8
122,300,0.9,7,8,16
123,300,1.1,5,5,16
124,300,0.9,5,4,15.6
125,250,1.1,5,5,16
126,200,1.1,5,9,13
127,200,0.9,7,7,13.4
128,200,0.9,5,12,12.8
129,200,1.1,5,15,12.5
130,200,1.1,3,10,12.8
